date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:02	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Oct%202017%2014:55:03%20GMT	http://demo.felippepuhle.com.br/robots.txt		(from )
20:25:02	22088/22088	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:51%20GMT	http://demo.felippepuhle.com.br/aero/	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/index.html	(from )
20:25:04	126306/126306	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:11:34%20GMT	http://demo.felippepuhle.com.br/aero/bower_components/Materialize/dist/css/materialize.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/bower_components/Materialize/dist/css/materialize.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:04	31549/31549	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:05:01%20GMT	http://demo.felippepuhle.com.br/aero/bower_components/font-awesome/css/font-awesome.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/bower_components/font-awesome/css/font-awesome.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:05	678/678	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:04:49%20GMT	http://demo.felippepuhle.com.br/aero/bower_components/code-prettify/src/prettify.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/bower_components/code-prettify/src/prettify.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:06	35966/35966	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:01:06%20GMT	http://demo.felippepuhle.com.br/aero/css/admin.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css/admin.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:08	1502/1502	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:02:27%20GMT	http://demo.felippepuhle.com.br/aero/css/themes/light.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css/themes/light.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:09	8221/8221	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:06:52%20GMT	http://demo.felippepuhle.com.br/aero/css/themes/main/materialize-red.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css/themes/main/materialize-red.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:10	7889/7889	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:06:45%20GMT	http://demo.felippepuhle.com.br/aero/css/themes/alternative/red.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css/themes/alternative/red.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:11	10420/10420	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:01:07%20GMT	http://demo.felippepuhle.com.br/aero/css/theme-switcher.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css/theme-switcher.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:12	5665/5665	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202017%2018:02:24%20GMT	http://demo.felippepuhle.com.br/aero/css/pages/dashboard.css	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css/pages/dashboard.css	(from http://demo.felippepuhle.com.br/aero/)
20:25:13	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2002%20Jan%202017%2018:01:13%20GMT	http://demo.felippepuhle.com.br/aero/img/favicon.ico	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/img/favicon.ico	(from http://demo.felippepuhle.com.br/aero/)
20:25:14	22088/22088	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:51%20GMT	http://demo.felippepuhle.com.br/aero/index.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/index-2.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:16	17476/17476	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:47%20GMT	http://demo.felippepuhle.com.br/aero/documentation.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/documentation.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:17	75041/75041	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Jan%202017%2018:01:33%20GMT	http://demo.felippepuhle.com.br/aero/img/logo.png	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/img/logo.png	(from http://demo.felippepuhle.com.br/aero/)
20:25:18	27918/27918	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:41%20GMT	http://demo.felippepuhle.com.br/aero/css_color.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_color.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:19	34417/34417	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Jan%202017%2018:01:38%20GMT	http://demo.felippepuhle.com.br/aero/img/profile.jpg	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/img/profile.jpg	(from http://demo.felippepuhle.com.br/aero/)
20:25:19	27804/27804	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:42%20GMT	http://demo.felippepuhle.com.br/aero/css_grid.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_grid.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:20	15606/15606	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:43%20GMT	http://demo.felippepuhle.com.br/aero/css_helpers.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_helpers.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:21	13916/13916	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:44%20GMT	http://demo.felippepuhle.com.br/aero/css_media.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_media.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:22	14709/14709	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:44%20GMT	http://demo.felippepuhle.com.br/aero/css_sass.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_sass.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:22	12249/12249	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:45%20GMT	http://demo.felippepuhle.com.br/aero/css_shadow.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_shadow.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:23	15178/15178	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:45%20GMT	http://demo.felippepuhle.com.br/aero/css_table.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_table.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:24	13767/13767	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:46%20GMT	http://demo.felippepuhle.com.br/aero/css_typography.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/css_typography.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:24	13297/13297	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:32%20GMT	http://demo.felippepuhle.com.br/aero/components_badges.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_badges.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:25	21070/21070	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:34%20GMT	http://demo.felippepuhle.com.br/aero/components_buttons.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_buttons.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:26	11333/11333	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:33%20GMT	http://demo.felippepuhle.com.br/aero/components_breadcrumbs.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_breadcrumbs.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:26	19226/19226	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:34%20GMT	http://demo.felippepuhle.com.br/aero/components_cards.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_cards.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:27	15305/15305	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:35%20GMT	http://demo.felippepuhle.com.br/aero/components_chips.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_chips.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:28	18156/18156	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:36%20GMT	http://demo.felippepuhle.com.br/aero/components_collections.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_collections.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:29	13378/13378	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:36%20GMT	http://demo.felippepuhle.com.br/aero/components_footer.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_footer.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:29	39887/39887	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:37%20GMT	http://demo.felippepuhle.com.br/aero/components_forms.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_forms.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:30	41383/41383	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:38%20GMT	http://demo.felippepuhle.com.br/aero/components_icons.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_icons.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:31	28542/28542	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:39%20GMT	http://demo.felippepuhle.com.br/aero/components_navbar.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_navbar.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:31	12056/12056	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:40%20GMT	http://demo.felippepuhle.com.br/aero/components_pagination.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_pagination.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:32	19523/19523	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:41%20GMT	http://demo.felippepuhle.com.br/aero/components_preloader.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/components_preloader.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:33	21191/21191	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:52%20GMT	http://demo.felippepuhle.com.br/aero/js_collapsible.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_collapsible.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:34	15837/15837	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:52%20GMT	http://demo.felippepuhle.com.br/aero/js_dialogs.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_dialogs.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:35	13836/13836	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:54%20GMT	http://demo.felippepuhle.com.br/aero/js_dropdown.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_dropdown.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:35	20586/20586	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:54%20GMT	http://demo.felippepuhle.com.br/aero/js_media.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_media.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:36	19810/19810	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:55%20GMT	http://demo.felippepuhle.com.br/aero/js_modals.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_modals.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:37	12001/12001	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:56%20GMT	http://demo.felippepuhle.com.br/aero/js_parallax.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_parallax.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:38	13318/13318	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:56%20GMT	http://demo.felippepuhle.com.br/aero/js_pushpin.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_pushpin.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:38	13049/13049	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:57%20GMT	http://demo.felippepuhle.com.br/aero/js_scrollfire.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_scrollfire.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:39	12460/12460	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:57%20GMT	http://demo.felippepuhle.com.br/aero/js_scrollspy.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_scrollspy.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:40	15938/15938	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:59%20GMT	http://demo.felippepuhle.com.br/aero/js_sidenav.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_sidenav.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:41	16048/16048	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:59%20GMT	http://demo.felippepuhle.com.br/aero/js_tabs.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_tabs.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:42	12612/12612	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:01:00%20GMT	http://demo.felippepuhle.com.br/aero/js_transitions.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_transitions.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:42	15187/15187	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:01:00%20GMT	http://demo.felippepuhle.com.br/aero/js_waves.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/js_waves.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:44	13850/13850	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:28%20GMT	http://demo.felippepuhle.com.br/aero/apps_crud.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/apps_crud.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:44	15644/15644	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:32%20GMT	http://demo.felippepuhle.com.br/aero/apps_pricing_table.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/apps_pricing_table.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:45	12089/12089	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:30%20GMT	http://demo.felippepuhle.com.br/aero/apps_datatables.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/apps_datatables.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:45	12410/12410	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:30%20GMT	http://demo.felippepuhle.com.br/aero/apps_maps.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/apps_maps.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:46	14802/14802	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:29%20GMT	http://demo.felippepuhle.com.br/aero/apps_charts.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/apps_charts.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:47	10570/10570	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:01:01%20GMT	http://demo.felippepuhle.com.br/aero/pages_blank.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/pages_blank.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:47	3008/3008	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:01:00%20GMT	http://demo.felippepuhle.com.br/aero/login.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/login.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:48	2842/2842	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:01:02%20GMT	http://demo.felippepuhle.com.br/aero/register.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/register.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:49	2234/2234	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:49%20GMT	http://demo.felippepuhle.com.br/aero/forgot_password.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/forgot_password.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:50	1778/1778	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:47%20GMT	http://demo.felippepuhle.com.br/aero/error_400.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/error_400.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:51	1775/1775	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:47%20GMT	http://demo.felippepuhle.com.br/aero/error_403.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/error_403.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:52	1777/1777	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:49%20GMT	http://demo.felippepuhle.com.br/aero/error_404.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/error_404.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:52	1832/1832	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:00:50%20GMT	http://demo.felippepuhle.com.br/aero/error_500.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/error_500.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:53	15322/15322	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2018:01:01%20GMT	http://demo.felippepuhle.com.br/aero/profile.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/profile.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:53	341/341	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Oct%202017%2014:55:55%20GMT	http://demo.felippepuhle.com.br/aero/app_datatables.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/app_datatables.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:54	335/335	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Oct%202017%2014:55:56%20GMT	http://demo.felippepuhle.com.br/aero/app_maps.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/app_maps.html	(from http://demo.felippepuhle.com.br/aero/)
20:25:55	337/337	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Oct%202017%2014:55:57%20GMT	http://demo.felippepuhle.com.br/aero/app_charts.html	D:/rob/Aro%20Admin/demo.felippepuhle.com.br/aero/app_charts.html	(from http://demo.felippepuhle.com.br/aero/)
